"","country","continent","year","lifeExp","pop","gdpPercap"
"1","Canada","Americas",1952,68.75,14785584,11367.16112
"2","Canada","Americas",1957,69.96,17010154,12489.95006
"3","Canada","Americas",1962,71.3,18985849,13462.48555
"4","Canada","Americas",1967,72.13,20819767,16076.58803
"5","Canada","Americas",1972,72.88,22284500,18970.57086
"6","Canada","Americas",1977,74.21,23796400,22090.88306
"7","Canada","Americas",1982,75.76,25201900,22898.79214
"8","Canada","Americas",1987,76.86,26549700,26626.51503
"9","Canada","Americas",1992,77.95,28523502,26342.88426
"10","Canada","Americas",1997,78.61,30305843,28954.92589
"11","Canada","Americas",2002,79.77,31902268,33328.96507
"12","Canada","Americas",2007,80.653,33390141,36319.23501
"13","Costa Rica","Americas",1952,57.206,926317,2627.009471
"14","Costa Rica","Americas",1957,60.026,1112300,2990.010802
"15","Costa Rica","Americas",1962,62.842,1345187,3460.937025
"16","Costa Rica","Americas",1967,65.424,1588717,4161.727834
"17","Costa Rica","Americas",1972,67.849,1834796,5118.146939
"18","Costa Rica","Americas",1977,70.75,2108457,5926.876967
"19","Costa Rica","Americas",1982,73.45,2424367,5262.734751
"20","Costa Rica","Americas",1987,74.752,2799811,5629.915318
"21","Costa Rica","Americas",1992,75.713,3173216,6160.416317
"22","Costa Rica","Americas",1997,77.26,3518107,6677.045314
"23","Costa Rica","Americas",2002,78.123,3834934,7723.447195
"24","Costa Rica","Americas",2007,78.782,4133884,9645.06142
"25","Cuba","Americas",1952,59.421,6007797,5586.53878
"26","Cuba","Americas",1957,62.325,6640752,6092.174359
"27","Cuba","Americas",1962,65.246,7254373,5180.75591
"28","Cuba","Americas",1967,68.29,8139332,5690.268015
"29","Cuba","Americas",1972,70.723,8831348,5305.445256
"30","Cuba","Americas",1977,72.649,9537988,6380.494966
"31","Cuba","Americas",1982,73.717,9789224,7316.918107
"32","Cuba","Americas",1987,74.174,10239839,7532.924763
"33","Cuba","Americas",1992,74.414,10723260,5592.843963
"34","Cuba","Americas",1997,76.151,10983007,5431.990415
"35","Cuba","Americas",2002,77.158,11226999,6340.646683
"36","Cuba","Americas",2007,78.273,11416987,8948.102923
"37","Puerto Rico","Americas",1952,64.28,2227000,3081.959785
"38","Puerto Rico","Americas",1957,68.54,2260000,3907.156189
"39","Puerto Rico","Americas",1962,69.62,2448046,5108.34463
"40","Puerto Rico","Americas",1967,71.1,2648961,6929.277714
"41","Puerto Rico","Americas",1972,72.16,2847132,9123.041742
"42","Puerto Rico","Americas",1977,73.44,3080828,9770.524921
"43","Puerto Rico","Americas",1982,73.75,3279001,10330.98915
"44","Puerto Rico","Americas",1987,74.63,3444468,12281.34191
"45","Puerto Rico","Americas",1992,73.911,3585176,14641.58711
"46","Puerto Rico","Americas",1997,74.917,3759430,16999.4333
"47","Puerto Rico","Americas",2002,77.778,3859606,18855.60618
"48","Puerto Rico","Americas",2007,78.746,3942491,19328.70901
